"","C.Tu","C.Td","T.TTu","T.TTd","TT.CTu","TT.CTd","model.StARS_0.08"
"OTU-148",1,0,1,0,0,1,1
"OTU-2373",1,0,0,1,0,1,0
"OTU-181",1,0,1,0,1,1,0
"OTU-190857",1,0,0,0,0,0,0
"OTU-225",0,0,1,0,1,0,1
"OTU-219",1,0,1,0,0,1,0
"OTU-222",1,1,1,0,1,1,0
"OTU-84272",1,0,0,0,0,1,0
"OTU-349",1,1,1,0,1,1,1
"OTU-25449",0,0,0,0,0,0,0
"OTU-1954",0,0,1,0,0,1,0
"OTU-24607",0,0,1,0,0,0,1
"OTU-101102",0,0,0,0,0,0,0
"OTU-45",1,0,0,0,0,0,0
"OTU-182",0,0,0,0,1,1,0
"OTU-272",1,0,1,0,1,1,0
"OTU-262",1,0,1,0,1,0,0
"OTU-8463",0,0,0,0,0,1,0
"OTU-294",1,0,1,0,0,1,1
"OTU-597",1,0,1,0,1,1,1
"OTU-361",1,0,1,0,0,1,0
"OTU-206",1,0,1,0,1,1,0
"OTU-28723",1,0,1,1,0,1,1
"OTU-55",0,1,1,1,1,0,1
"OTU-91",0,1,0,1,1,0,1
"OTU-46012",0,0,0,0,0,0,0
"OTU-116570",0,0,0,0,1,0,1
"OTU-5",0,1,0,1,0,1,0
"OTU-3017",0,1,0,1,0,0,1
"OTU-73",1,1,0,1,0,1,1
"OTU-1507",1,1,1,0,0,1,0
"OTU-37",1,0,1,0,1,0,1
"OTU-229303",0,0,1,0,1,0,1
"OTU-72",1,1,1,1,1,1,1
"OTU-154938",0,0,0,0,0,0,0
"OTU-20425",0,0,1,0,1,1,1
"OTU-69187",0,0,1,0,0,0,1
"OTU-56961",0,0,0,0,0,0,0
"OTU-185977",0,0,1,0,0,1,1
"OTU-2160",1,0,0,1,0,0,1
"OTU-36019",0,0,1,0,0,0,0
"OTU-71",1,0,1,1,0,0,0
"OTU-37078",0,0,0,0,0,1,0
"OTU-22804",0,0,0,0,0,0,0
"OTU-106889",0,0,1,0,0,0,1
"OTU-380",0,1,0,1,1,0,1
"OTU-20201",0,0,0,0,0,0,0
"OTU-623",0,0,0,1,0,0,0
"OTU-259",1,0,1,0,0,1,1
"OTU-51076",0,0,0,0,0,0,0
"OTU-362",0,0,0,0,0,0,0
"OTU-39074",0,0,1,0,0,1,1
"OTU-59",1,1,1,0,1,1,1
"OTU-204",0,0,1,0,1,1,1
"OTU-252",0,0,1,0,1,0,1
"OTU-379",0,1,0,1,1,1,1
"OTU-19077",0,0,0,0,0,0,0
"OTU-1391",0,0,1,0,0,1,1
"OTU-131621",0,0,1,0,0,1,1
"OTU-267",1,0,1,0,0,1,1
"OTU-486",0,0,1,0,1,0,1
"OTU-40",0,0,1,0,0,0,0
"OTU-56132",1,0,0,0,0,1,1
"OTU-88047",0,0,0,0,0,1,1
"OTU-143686",0,0,1,0,0,1,1
"OTU-68125",0,0,1,0,0,1,0
"OTU-66767",1,0,0,1,0,0,0
"OTU-160",1,0,0,1,0,1,1
"OTU-35999",0,1,0,0,1,0,1
"OTU-72558",0,0,0,0,0,1,0
"OTU-64030",0,0,1,0,1,0,1
"OTU-24755",1,0,0,0,0,1,1
"OTU-19169",0,0,1,0,1,0,1
"OTU-5466",1,0,0,1,0,0,1
"OTU-101056",0,0,1,0,0,1,1
"OTU-2713",0,0,1,0,0,0,1
"OTU-155",1,0,0,1,0,1,0
"OTU-817",1,0,0,1,0,0,1
"OTU-24",1,1,0,1,0,1,1
"OTU-174310",1,0,0,1,0,0,1
"OTU-35223",0,1,0,1,0,0,1
"OTU-5653",1,0,0,1,0,1,1
"OTU-524",1,1,0,1,1,1,1
"OTU-175435",1,0,0,0,0,1,1
