OTU;C.Tu;C.Td;T.TTu;T.TTd;TT.CTu;TT.CTd;model.StARS_0.08;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-1;0;1;0;0;1;0;1;95628;4.980585073;100
OTU-10;0;1;1;0;1;1;1;28648;4.457094308;100
OTU-100;1;1;1;1;1;0;1;3353;3.525433553;93.33333333
OTU-100860;0;0;0;0;0;0;1;826;2.916980047;80
OTU-100870;1;0;1;0;0;1;1;68;1.832508913;13.33333333
OTU-100910;0;0;0;0;0;0;0;168;2.225309282;53.33333333
OTU-101;1;1;0;0;0;1;0;55;1.740362689;20
OTU-101056;0;0;1;0;0;1;1;6;0.77815125;13.33333333
OTU-101102;0;0;0;0;0;0;0;16;1.204119983;40
OTU-101140;1;0;1;0;1;0;0;69;1.838849091;33.33333333
OTU-10198;0;0;1;0;0;1;1;8;0.903089987;20
OTU-102;0;1;1;0;1;1;1;9;0.954242509;20
OTU-102255;1;1;0;0;0;1;1;212;2.326335861;33.33333333
OTU-1023;1;0;0;0;1;0;1;198;2.29666519;46.66666667
OTU-103;0;1;0;1;0;0;1;68;1.832508913;73.33333333
OTU-103148;0;0;1;0;0;1;1;814;2.910624405;80
OTU-1034;1;0;0;1;0;0;1;92;1.963787827;66.66666667
OTU-103668;1;1;1;1;1;1;1;211;2.324282455;33.33333333
OTU-104088;1;0;0;1;0;1;0;148;2.170261715;60
OTU-1045;0;0;0;1;0;0;0;51;1.707570176;53.33333333
OTU-104880;1;1;1;1;0;1;1;124;2.093421685;60
OTU-105;1;1;0;1;1;1;1;68;1.832508913;53.33333333
OTU-106748;0;0;1;0;0;1;1;74;1.86923172;53.33333333
OTU-106889;0;0;1;0;0;0;1;179;2.252853031;86.66666667
OTU-107;0;0;0;1;0;1;1;24;1.380211242;53.33333333
OTU-1076;1;0;0;0;0;1;1;13;1.113943352;53.33333333
OTU-108240;0;0;1;0;1;1;1;70;1.84509804;46.66666667
OTU-108401;1;1;1;1;1;0;1;6601;3.819609733;100
OTU-11;1;1;1;0;1;1;1;29;1.462397998;40
OTU-110;0;1;0;1;1;0;1;406;2.608526034;66.66666667
OTU-11013;0;0;0;0;0;0;0;18;1.255272505;33.33333333
OTU-110243;0;1;1;0;1;0;1;243;2.385606274;66.66666667
OTU-11092;0;0;0;0;0;0;1;375;2.574031268;53.33333333
OTU-111;1;0;0;0;0;0;1;93;1.968482949;60
OTU-111573;0;0;1;0;0;0;1;69;1.838849091;40
OTU-112;1;1;1;0;0;0;1;69;1.838849091;86.66666667
OTU-112485;0;0;1;0;0;1;1;515;2.711807229;93.33333333
OTU-1132;1;0;0;1;0;0;0;234;2.369215857;73.33333333
OTU-114306;0;0;0;0;1;0;1;14;1.146128036;26.66666667
OTU-11609;0;0;1;0;0;1;0;215;2.33243846;80
OTU-116118;1;0;0;1;0;0;0;27;1.431363764;40
OTU-116570;0;0;0;0;1;0;1;28;1.447158031;40
OTU-1166;1;0;0;0;0;0;1;5;0.698970004;33.33333333
OTU-116929;0;0;1;0;1;1;1;49;1.69019608;26.66666667
OTU-117;0;1;0;1;1;1;0;83;1.919078092;86.66666667
OTU-11953;0;0;0;0;0;1;1;27;1.431363764;26.66666667
OTU-12;1;1;1;0;1;1;0;17;1.230448921;46.66666667
OTU-12020;0;0;1;0;0;0;1;108;2.033423755;46.66666667
OTU-120676;1;0;0;0;0;0;1;60;1.77815125;53.33333333
OTU-121;1;1;1;0;1;1;1;86;1.934498451;40
OTU-12157;0;0;0;0;0;1;1;23;1.361727836;86.66666667
OTU-12177;0;0;0;0;0;0;0;37;1.568201724;53.33333333
OTU-121850;0;0;1;0;0;1;1;119;2.075546961;60
