"","C.Tu_F1","C.Td_F1","C.Tu_F2","C.Td_F2","C.Tu_F3","C.Td_F3","C.Tu_Fun2","C.Td_Fun2","C.Tu_HS","C.Td_HS","C.Tu_US","C.Td_US","C.Tu_pH2","C.Td_pH2","C.Tu_FT","C.Td_FT","C.Tu_Fun1","C.Td_Fun1","C.Tu_Pro","C.Td_Pro","C.Tu_Na","C.Td_Na","C.Tu_UV","C.Td_UV","C.Tu_Ox1","C.Td_Ox1","C.Tu_Ox2","C.Td_Ox2","C.Tu_A1","C.Td_A1","C.Tu_A2","C.Td_A2","C.Tu_A3","C.Td_A3","C.Tu_pH11","C.Td_pH11","T.TTu_A1","T.TTd_A1","TT.CTu_A1","TT.CTd_A1","CC.CTu_A1","CC.CTd_A1","CC.TTu_A1","CC.TTd_A1","T.TTu_A3","T.TTd_A3","TT.CTu_A3","TT.CTd_A3","CC.CTu_A3","CC.CTd_A3","CC.TTu_A3","CC.TTd_A3","T.TTu_F3","T.TTd_F3","TT.CTu_F3","TT.CTd_F3","CC.CTu_F3","CC.CTd_F3","CC.TTu_F3","CC.TTd_F3","T.TTu_Fun1","T.TTd_Fun1","TT.CTu_Fun1","TT.CTd_Fun1","CC.CTu_Fun1","CC.CTd_Fun1","CC.TTu_Fun1","CC.TTd_Fun1","T.TTu_HS","T.TTd_HS","TT.CTu_HS","TT.CTd_HS","CC.CTu_HS","CC.CTd_HS","CC.TTu_HS","CC.TTd_HS","T.TTu_Ox1","T.TTd_Ox1","TT.CTu_Ox1","TT.CTd_Ox1","CC.CTu_Ox1","CC.CTd_Ox1","CC.TTu_Ox1","CC.TTd_Ox1","T.TTu_pH11","T.TTd_pH11","TT.CTu_pH11","TT.CTd_pH11","CC.CTu_pH11","CC.CTd_pH11","CC.TTu_pH11","CC.TTd_pH11","T.TTu_pH2","T.TTd_pH2","TT.CTu_pH2","TT.CTd_pH2","CC.CTu_pH2","CC.CTd_pH2","CC.TTu_pH2","CC.TTd_pH2","T.TTu_Pro","T.TTd_Pro","TT.CTu_Pro","TT.CTd_Pro","CC.CTu_Pro","CC.CTd_Pro","CC.TTu_Pro","CC.TTd_Pro","T.TTu_UV","T.TTd_UV","TT.CTu_UV","TT.CTd_UV","CC.CTu_UV","CC.CTd_UV","CC.TTu_UV","CC.TTd_UV","C.CCu","C.CCd","A1_A1.A1_A3_u","A1_A1.A1_A3_d","A3_A3.A1_A3_u","A3_A3.A1_A3_d","A1_A1.A1_HS_u","A1_A1.A1_HS_d","HS_HS.A1_HS_u","HS_HS.A1_HS_d","A3_A3.A3_HS_u","A3_A3.A3_HS_d","HS_HS.A3_HS_u","HS_HS.A3_HS_d","ASV total abundance","ASV total abundance (log10)","Prevalence","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU-148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8678,3.93841964579319,95.5710955710956,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Hyphomicrobium","s__"
"OTU-2373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2820,3.45024910831936,80.8857808857809,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Hyphomicrobium","s__"
"OTU-181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5610,3.74896286125616,90.6759906759907,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__","s__"
"OTU-190857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,2.44404479591808,9.79020979020979,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Phyllobacteriaceae","",""
"OTU-225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7648,3.88354787926804,65.2680652680653,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Asticcacaulis","s__biprosthecium"
"OTU-219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11398,4.05682865263781,93.7062937062937,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__"
"OTU-222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12148,4.08450478324623,88.1118881118881,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__","f__","g__","s__"
"OTU-84272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,2.99782308074573,10.2564102564103,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__","s__"
"OTU-349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7462,3.87285524470481,89.5104895104895,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"OTU-25449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,2.25527250510331,7.22610722610723,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","",""
