OTU;all_fltr;fltr_micro;fltr_susp;micro_fltr;susp_fltr;ASV total abundance;ASV total abundance (log10);Prevalence;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU-158;1;1;1;0;0;852;2.930439595;91.09589041;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__
OTU-123;1;1;1;1;1;6535;3.815245592;92.46575342;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-14924;1;1;1;1;0;2510;3.399673721;86.98630137;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-172;1;1;1;1;0;3800;3.579783597;87.67123288;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-51;1;1;1;1;0;1837;3.264109156;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;NA;NA;NA
OTU-45181;1;1;1;0;1;349;2.542825427;45.89041096;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
OTU-99;1;1;1;1;0;3269;3.514414921;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__;s__
OTU-133;1;1;0;1;0;7502;3.87517706;83.56164384;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;NA;NA;NA;NA
OTU-44;1;1;1;1;0;7817;3.893040112;86.30136986;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__;g__;s__
OTU-10;1;1;1;1;0;9688;3.98623413;85.61643836;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__;g__;s__
OTU-222;1;1;1;1;1;23261;4.366628381;95.20547945;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter;s__
OTU-47341;1;1;1;0;1;400;2.602059991;21.23287671;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;NA;NA;NA
OTU-47531;1;1;1;0;1;197;2.294466226;21.23287671;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;NA;NA;NA;NA
OTU-47349;1;1;1;0;1;191;2.281033367;14.38356164;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;NA;NA;NA;NA
OTU-401;1;1;1;0;0;615;2.788875116;29.45205479;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
OTU-728;1;1;1;1;0;1373;3.137670537;91.09589041;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter;s__
