"""OTU"",""all"",""t0"",""micro"",""susp"",""all_fltr"",""fltr_t0"",""fltr_micro"",""fltr_susp"",""micro_fltr"",""susp_fltr"",""ASV total abundance"",""ASV total abundance (log10)"",""Prevalence"",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU-31228,1,1,1,1,0,0,0,0,0,0,20,1.30102999566398,9.58904109589041,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-158,1,1,1,1,1,1,1,1,0,0,852,2.9304395947667,91.0958904109589,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-6542,1,1,1,1,0,0,0,0,0,0,62,1.79239168949825,14.3835616438356,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-30287,1,1,1,1,0,0,0,0,0,0,31,1.49136169383427,18.4931506849315,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-35189,1,1,1,1,0,0,0,0,0,0,101,2.00432137378264,41.7808219178082,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-12454,1,1,1,0,0,0,0,0,0,0,30,1.47712125471966,16.4383561643836,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-30321,1,1,1,1,0,0,0,0,0,0,24,1.38021124171161,8.9041095890411,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-28816,1,1,1,1,0,0,0,0,0,0,181,2.25767857486918,56.8493150684932,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-38017,1,1,1,1,0,0,0,0,0,0,66,1.81954393554187,17.8082191780822,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-26225,1,1,1,1,0,0,0,0,0,0,42,1.6232492903979,23.972602739726,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-27265,1,1,1,1,0,0,0,0,0,0,60,1.77815125038364,26.7123287671233,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-36322,1,1,1,0,0,0,0,0,0,0,26,1.41497334797082,16.4383561643836,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-4696,1,0,1,1,0,0,0,0,0,0,86,1.93449845124357,33.5616438356164,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__"",""g__"",""s__"""
"OTU-12425,1,1,1,1,0,0,0,0,0,0,46,1.66275783168157,21.9178082191781,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-9613,1,0,1,0,0,0,0,0,0,0,37,1.56820172406699,23.2876712328767,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-10911,1,0,1,0,0,0,0,0,0,0,34,1.53147891704226,21.9178082191781,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-11340,1,1,1,1,0,0,0,0,0,0,417,2.62013605497376,84.9315068493151,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-123,1,1,1,1,1,1,1,1,1,1,6535,3.81524559191656,92.4657534246575,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-323,1,1,1,0,0,0,0,0,0,0,71,1.85125834871908,38.3561643835616,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-13105,1,0,1,0,0,0,0,0,0,0,23,1.36172783601759,14.3835616438356,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-18802,1,0,1,0,0,0,0,0,0,0,35,1.54406804435028,18.4931506849315,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-2683,1,1,1,1,0,0,0,0,0,0,72,1.85733249643127,36.986301369863,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Phyllobacteriaceae"",""g__Mesorhizobium"",NA"
"OTU-18407,1,0,1,0,0,0,0,0,0,0,16,1.20411998265592,10.2739726027397,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-1205,1,1,1,0,0,0,0,0,0,0,71,1.85125834871908,35.6164383561644,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-10771,1,0,1,0,0,0,0,0,0,0,18,1.25527250510331,10.2739726027397,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-15577,1,1,1,0,0,0,0,0,0,0,315,2.4983105537896,71.2328767123288,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-14924,1,1,1,1,1,1,1,1,1,0,2510,3.39967372148104,86.986301369863,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-172,1,1,1,1,1,1,1,1,1,0,3800,3.57978359661681,87.6712328767123,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Devosia"",""s__"""
"OTU-13702,1,0,1,0,0,0,0,0,0,0,15,1.17609125905568,10.2739726027397,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-8183,1,1,1,1,0,0,0,0,0,0,31,1.49136169383427,15.7534246575342,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Xanthobacteraceae"",""g__"",""s__"""
"OTU-5028,1,1,1,1,0,0,0,0,0,0,74,1.86923171973098,35.6164383561644,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Rhizobiaceae"",""g__Kaistia"",""s__"""
