OTU;T0;C;A1;A3;HS;C_C;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-54950;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;8;0.903089987;33.33333333
OTU-70146;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;6;0.77815125;33.33333333
OTU-36732;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;5;0.698970004;26.66666667
OTU-1680;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;147;2.167317335;73.33333333
OTU-215284;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;50;1.698970004;66.66666667
OTU-35237;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;126;2.100370545;80
OTU-9286;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;117;2.068185862;46.66666667
OTU-83195;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;6;0.77815125;20
OTU-90057;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;50;1.698970004;6.666666667
OTU-495;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;478;2.679427897;100
OTU-235971;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;21;1.322219295;33.33333333
OTU-148;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4978;3.697054892;100
OTU-237112;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;1.113943352;13.33333333
OTU-36808;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;16;1.204119983;40
OTU-85201;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;150;2.176091259;40
OTU-85585;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;21;1.322219295;33.33333333
OTU-2043;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;224;2.350248018;100
OTU-236380;1;0;1;0;1;0;0;0;0;0;1;1;1;1;1;29;1.462397998;53.33333333
OTU-186605;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0.477121255;20
OTU-76186;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;4;0.602059991;20
OTU-44070;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;5;0.698970004;20
OTU-174202;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;6.666666667
OTU-33170;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;0.602059991;20
